"","cleanseg2018","Freq"
"1","語言",153
"2","語言學",46
"3","研究",39
"4","邏輯",32
"5","了解",26
"6","人",25
"7","文化",25
"8","人類",22
"9","科學",19
"10","一種",19
"11","溝通",18
"12","透過",14
"13","學問",14
"14","文法",13
"15","思考",12
"16","一個",12
"17","分析",11
"18","學習",11
"19","一門",11
"20","有趣",11
"21","方法",10
"22","結構",10
"23","文字",10
"24","方式",9
"25","認為",9
"26","探討",9
"27","關係",8
"28","規則",8
"29","語法",8
"30","運用",8
"31","之間",8
"32","定義",7
"33","覺得",7
"34","瞭解",7
"35","邏輯推理",7
"36","需要",7
"37","中",7
"38","利用",6
"39","使用",6
"40","世界",6
"41","事物",6
"42","興趣",6
"43","知識",6
"44","字",6
"45","發展",5
"46","工具",5
"47","歸納",5
"48","接觸",5
"49","理解",5
"50","說",5
"51","許多",5
"52","演變",5
"53","意思",5
"54","語音",5
"55","包含",4
"56","表達",4
"57","存在",4
"58","單字",4
"59","當地",4
"60","東西",4
"61","藉由",4
"62","角度",4
"63","每種",4
"64","民族",4
"65","剖析",4
"66","社會",4
"67","深奧",4
"68","特色",4
"69","喜歡",4
"70","像是",4
"71","性",4
"72","學科",4
"73","已知",4
"74","英文",4
"75","造字",4
"76","變化",3
"77","動詞",3
"78","分支",3
"79","感覺",3
"80","高",3
"81","各國",3
"82","過程",3
"83","基礎",3
"84","架構",3
"85","間",3
"86","建立",3
"87","交流",3
"88","解出",3
"89","進行",3
"90","看過",3
"91","媒介",3
"92","門",3
"93","敏感度",3
"94","能力",3
"95","認識",3
"96","認知",3
"97","時期",3
"98","思維",3
"99","推理",3
"100","未知",3
"101","希望",3
"102","想",3
"103","一定",3
"104","一些",3
"105","椅子",3
"106","意義",3
"107","影響",3
"108","有時候",3
"109","只",3
"110","主要",3
"111","組成",3
"112","包括",2
"113","背後",2
"114","比較",2
"115","博大精深",2
"116","不多",2
"117","參加",2
"118","產生",2
"119","嘗試",2
"120","稱為",2
"121","抽象",2
"122","創造",2
"123","詞彙",2
"124","得知",2
"125","電影",2
"126","懂",2
"127","略懂",2
"128","而成",2
"129","發現",2
"130","發音",2
"131","概念",2
"132","根本",2
"133","更是",2
"134","關聯性",2
"135","觀察",2
"136","國際",2
"137","國家",2
"138","還能",2
"139","好玩",2
"140","很酷",2
"141","很難",2
"142","後",2
"143","活動",2
"144","機會",2
"145","紀錄",2
"146","價值觀",2
"147","簡單",2
"148","皆",2
"149","解決問題",2
"150","解剖",2
"151","就讀",2
"152","科技",2
"153","科學研究",2
"154","來說",2
"155","力量",2
"156","歷史",2
"157","連結",2
"158","領域",2
"159","邏輯性",2
"160","脈絡",2
"161","沒什麼",2
"162","謎題",2
"163","名詞",2
"164","內容",2
"165","橋樑",2
"166","清楚",2
"167","區分",2
"168","卻是",2
"169","人們",2
"170","人造",2
"171","深入",2
"172","深入研究",2
