2019,2018,2017,2016
將文字與聲音邏輯化、模組化、規則化,對於定義世界的學問的探討,"I think that the study of linguistics is about patterns and their exceptions. I took an introductory class called Language in Society last year, and that's about the extent of what I know. The material the course covered ranged from soundwaves to the effect that language has on psychology.",我認為語言學是研究人類語言的形成，發展以及構成的學術。從發音，解讀以及結構(如文法)去了解語言的根本，同時也可以連結人類腦部語言中心對語言的理解方式。
我覺得語言學很好玩因為那一些題目會讓我需要想很多，而且我學會了很多東西。,"Languages are like name cards. The more you receive, the more you'll know about foreign culture,and the higher possibility you'll get to interact with others.",語言學在我的理解中是ㄧ門在主觀的思考中試圖找出客觀邏輯的學問，也是研究人類文化變遷與特定族群思考脈絡的最佳媒介。,語言學，與我，是一門以清晰架構及科學方法剖析探究我們每天使用的語言。它涵概的範圍很廣，更是各領域學科中不可或缺的靈魂元素。
不多,"吃語感,很有趣",從前未曾深入探討，我想語言學就是一門研究語言結構語法，擴充語言存在意義的學問。,研究語言產生、形式、規則與對應意義的學科
基本,語言是定義事物的基礎，而且我認為語言文字是擁有非常強大的力量的。舉例來說，有一張椅子在屋子的角落，明明世界上不可能有完全一樣的東西，我們還是把他稱為「椅子」，這就是一種歸類，如果我們用另一種角度來看，它可以是「四根木條」和「一片木板」，但是通常別人不會這樣想，而且若人坐上去後，我們也不會重新定義那個物體而是稱為「椅子」和「人」，所以語言擁有區分事物的「力量」而語言學就是在討論我們如何去定義一件事物、為何這樣定義或還能怎麼定義等諸如此類的學問。,"邏輯推理的過程
抽絲剝繭尋找蛛絲馬跡",分析人類語言之結構，音韻，語法運用等等，並可從不同領域角度加以剖析。
語言學是一門關於人類語言學的研究,研究語言的成因，比較不同語言在文法或字義等方面的差異，運用邏輯思考認知、研究未知或不明的語言。,不同新的思考思維,研究語言原理以及保護諸多消失中的語言
從語言中尋找語言的規則,對於語言的敏感度、認知以及語言的規則,語言學是了解文化的重要關鍵。語言是建立在文化的基礎上而發展，藉由語言學的分析能進一步的更加認識一種文化。,語言是人類從古至今的歷史見證，也是現今仍不斷創新的文化產物。透過語言，了解自我、了解族群、了解世界。
是追溯全人類語言根源的一項研究,雖然不深，但對其抱有極高的熱情，希望可以藉由這次機會更加了解其內容。,喜歡、不斷接觸學習！,
"語言學對我而言就像是一個美食家
它探討的是語言的共通性及它的獨特性
用科學的方法品嚐語言之美",語言是很奇妙的東西，看似字與字之間是獨立的，但實際上和邏輯上卻環環相扣。字的組成和用法，又和各國本身的文化相連結，研究起來相當有趣。,語言代表著各個民族的文化和生活習慣...等，學習語言讓我享受與徜徉世界的暢快,語言不只是一種溝通工具，更是一種使我們得以窺探文明變遷、地方風俗的最佳證據。
研究語言的結構和發展等,我對語言學不熟 但是很有興趣 也希望可以透過這次競賽更加了解語言學,可以了解語言脈絡的學科,"2014年擔任國際資訊奧林匹亞志工時，當時從選手那裡得知此資訊。
語言是人與人之間溝通的工具，每種語言有自己的一套制度與標準。我覺得語言學在研究的便是諸多語言的制度規則。"
其實我不太了解，只是有興趣。語言學應該就是在研究語言的結構和在社會上的應用。,沒有特別深入去研究 但有觸碰過二至三國外國語言,每種語言有不同的文法，拉丁語系與日耳曼語系多半有動詞變化，而有的語言可能是聲調不同就產生了不同的意思。各種語言還涉及語意、邏輯等，而我覺得學語言最重要的是語感。,研究語言的學問，分析各種語言
透過有系統、有邏輯的方法去拆解各種不同的語言,不一定要學每一種語言，每種語言都是用語法邏輯編織而成的。,我沒有正式學過語言學，但是我覺得語言學就是在解碼，公式就像鑰匙，找出那個語言的獨特公式並且運用他開啟一道道文化大門，這是我眼中的語言學。,是一種不單就一種語言深入，但對各類語言擁有觀察和學習能力的領域。
分析語法、字義、語言習慣等，研究與比較不同語言間的異同之處。,不清楚!,,研究語言表達的型態、結構以及怎麼分辨其中的情感。
觀察與思考、推理，可能還要一點莫名其妙的信心跟直覺,單詞、結構、音韻和邏輯,對語言有深入的研究,語言學是研究語言造字的由來，與其音韻、句式、文法的學問(應該是這樣吧?)
NA,背誦加推理,需要強烈的邏輯能力,大概就是研究人們的不同溝通方式吧
