"","cleanseg2016","Freq"
"1","語言",142
"2","語言學",70
"3","研究",57
"4","人類",33
"5","結構",22
"6","邏輯",22
"7","了解",21
"8","文化",21
"9","一門",19
"10","中",18
"11","科學",15
"12","領域",15
"13","分析",14
"14","學問",14
"15","文法",14
"16","語意",14
"17","人",13
"18","文字",13
"19","一種",12
"20","歷史",12
"21","溝通",12
"22","思考",11
"23","發展",11
"24","語音",11
"25","方式",10
"26","使用",9
"27","學",9
"28","學科",9
"29","音韻",9
"30","音韻學",9
"31","之間",8
"32","句法",8
"33","工具",8
"34","法學",8
"35","規則",8
"36","語法",8
"37","包含",7
"38","句",7
"39","學習",7
"40","瞭解",7
"41","語音學",7
"42","透過",7
"43","一個",6
"44","包括",6
"45","構詞",6
"46","規律",6
"47","間",6
"48","交流",5
"49","形成",5
"50","意義",5
"51","探究",5
"52","探索",5
"53","社會",5
"54","系統",5
"55","藉由",5
"56","覺得",5
"57","邏輯性",5
"58","關係",5
"59","傳承",4
"60","剖析",4
"61","古老",4
"62","句子",4
"63","國文",4
"64","學術",4
"65","幫助",4
"66","應用",4
"67","探討",4
"68","方法",4
"69","更是",4
"70","有趣",4
"71","橋樑",4
"72","歸納",4
"73","演變",4
"74","理解",4
"75","生活",4
"76","科目",4
"77","能力",4
"78","許多",4
"79","認為",4
"80","變遷",4
"81","資訊",4
"82","關聯",4
"83","需要",4
"84","人類文明",3
"85","像是",3
"86","元素",3
"87","完全",3
"88","層面",3
"89","差異",3
"90","很大",3
"91","心理",3
"92","應該",3
"93","找出",3
"94","接觸",3
"95","方面",3
"96","時代",3
"97","最",3
"98","涉及",3
"99","涵蓋",3
"100","現代",3
"101","發音",3
"102","目前",3
"103","知識",3
"104","知道",3
"105","科學研究",3
"106","符號",3
"107","範圍",3
"108","系",3
"109","組成",3
"110","聲音",3
"111","興趣",3
"112","觀察",3
"113","語系",3
"114","變化",3
"115","運作",3
"116","邏輯推理",3
"117","一些",2
"118","不可或缺",2
"119","世界",2
"120","中文",2
"121","中有",2
"122","主要",2
"123","人們",2
"124","具體",2
"125","分支",2
"126","分為",2
"127","利用",2
"128","制度",2
"129","印歐語",2
"130","句式",2
"131","各國",2
"132","同一個",2
"133","名詞",2
"134","單詞",2
"135","基礎",2
"136","塔",2
"137","好像",2
"138","媒介",2
"139","屬於",2
"140","延伸",2
"141","影響",2
"142","很廣",2
"143","得知",2
"144","思維",2
"145","想",2
"146","想要",2
