Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"Targeting of international sports federations",2018-01-12,"Believed to be the work of APT 28","A threat actor targeted international sports organizations in Western Europe in the run-up to the International Olympic Committee’s banning Russian athletes from participating in the 2018 Winter Olympics in South Korea.",,"European Ice Hockey Federation, International Ski Federation, International Biathlon Union, International Bobsleigh and Skeleton Federation, International Luge Federation","Russian Federation",Espionage,"Civil society",https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/,,
"Compromise of a U.S. Navy contractor",2018-06-08,,"A threat actor compromises the networks of a contractor for the U.S. Navy, exfiltrating 614 gigabytes of sensitive information, including data related to a new U.S. anti-ship missile and submarine communications systems.",,"United States",China,Espionage,"Private sector",https://www.washingtonpost.com/world/national-security/china-hacked-a-navy-contractor-and-secured-a-trove-of-highly-sensitive-data-on-submarine-warfare/2018/06/08/6cc396fa-68e6-11e8-bea7-c8eb28bc52b1_story.html?utm_term=.112cfe0a147a,https://www.nytimes.com/2018/06/08/us/politics/china-hack-navy-contractor-.html,http://www.newportri.com/news/20180608/nuwc-contractor-hacked-by-china-sensitive-information-on-submarines-stolen
"Targeting of AMC Theatres",2018-09-06,"Believed to be the work of Lazarus Group","A threat actor targeted U.S. movie theater chain AMC Theatres in 2014 using spear-phishing techniques. The U.S. Department of Justice alleges that the incident was related to the chain's screenings of The Interview, a movie depicting the assassination of North Korean leader Kim Jong-un.","Criminal charges   https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and","AMC Theatres","Korea (Democratic People's Republic of)",Espionage,"Private sector",https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,,
"Targeting of global financial organizations and bitcoin users",2018-02-12,"Believed to be the work of the Lazarus Group","A threat actor targeted financial organizations and bitcoin users, for the purpose of identifying individuals with bitcoin wallets.",,,"Korea (Democratic People's Republic of)",Espionage,"Private sector",https://securingtomorrow.mcafee.com/mcafee-labs/lazarus-resurfaces-targets-global-banks-bitcoin-users/,,
"Compromise of Cambodian election organizations",2018-07-10,"Believed to be the work of Leviathan","A threat actor compromises opposition parties, as well as organizations charged with overseeing the 2018 Cambodian elections, for espionage purposes.",,Cambodia,China,Espionage,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2018/07/chinese-espionage-group-targets-cambodia-ahead-of-elections.html,https://www.rfa.org/english/news/cambodia/hacked-07192018173610.html,https://www.apnews.com/0b52e20517a74b678cf5eae5d0e177ab
"Targeting of the Organization for the Prohibition of Chemical Weapons",2018-10-04,"Believed to be the work of APT 28","A threat actor, believed to be Russian military intelligence, targeted the office of the Organization for the Prohibition of Chemical Weapons in The Hague with a view of compromising its Wi-Fi network for espionage purposes. Dutch authorities were able to foil the operation, and in a joint press conference with UK officials publicly identified four suspected Russian intelligence officers involved. The United States, Australia, Canada, and New Zealand issued statements denouncing Russia's cyber operations.","Denouncement   https://english.defensie.nl/latest/news/2018/10/04/netherlands-defence-intelligence-and-security-service-disrupts-russian-cyber-operation-targeting-opcw","Organization for the Prohibition of Chemical Weapons","Russian Federation",Espionage,Government,https://english.defensie.nl/latest/news/2018/10/04/netherlands-defence-intelligence-and-security-service-disrupts-russian-cyber-operation-targeting-opcw,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,
Covellite,2018-05-31,"Believed to use similar tools as the Lazarus Group","This threat actor compromises the networks of companies involved in electric power, specifically looking for intellectual property and information about the companies’ operations.",,"United States",,Espionage,"Private sector",https://dragos.com/blog/20180531Covellite.html,,
"Targeting of U.S. energy and other critical infrastructure sectors",2018-03-15,"Believed to be linked to the Crouching Yeti threat actor","A threat actor that the U.S. government believes to be sponsored by the Russian government, targets entities in the U.S. energy, nuclear power, water, aviation, and critical manufacturing sectors. According to the Department of Homeland Security, this activity has been ongoing since at least 2014.","Sanctions   https://home.treasury.gov/news/press-releases/sm0410","United States","Russian Federation",Espionage,"Private sector, Government",https://www.us-cert.gov/ncas/alerts/TA18-074A,https://www.wsj.com/articles/russian-hackers-reach-u-s-utility-control-rooms-homeland-security-officials-say-1532388110,
"Targeting of Mammoth Screen",2018-09-06,"Believed to be the work of Lazarus Group","A threat actor targeted Mammoth Screen, a UK production company that produced Opposite Number, a television drama set in North Korea.",,"Mammoth Screen","Korea (Democratic People's Republic of)",Espionage,"Private sector",https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,,
"Targeting of consulates and embassies in Eastern Europe",2018-01-09,"Believed to be the work of Turla","A threat actor targeted consulates and embassies in Eastern Europe for the purpose of espionage.",,,"Russian Federation",Espionage,Government,https://www.welivesecurity.com/wp-content/uploads/2018/01/ESET_Turla_Mosquito.pdf,,
